City,Body_type,Transmission,No_of_owners,color,Milleage,Fuel_type,Make_year,Price,Make_Model
Hyderabad,hatchback,manual,1,grey,74,petrol,2015,3.54,Maruti Suzuki-Wagon R 1.0
Hyderabad,hatchback,manual,1,blue,19,petrol,2021,4.41,Renault-Kwid
Hyderabad,hatchback,automatic,1,white,3,petrol,2023,6.64,Maruti Suzuki-Celerio
Hyderabad,hatchback,manual,1,silver,22,petrol,2022,3.99,Maruti Suzuki-Alto 800
Hyderabad,suv,manual,1,white,27,petrol,2022,9.59,Honda-WR-V
Hyderabad,hatchback,manual,1,grey,11,petrol,2021,5.26565,Maruti Suzuki-Ignis
Hyderabad,hatchback,manual,1,grey,24,petrol,2021,4.68,Maruti Suzuki-S-Presso
Hyderabad,sedan,manual,2,white,30,petrol,2019,5.19,Ford-Figo Aspire
Hyderabad,hatchback,manual,1,grey,46,petrol,2017,3.17,Maruti Suzuki-Alto 800
Hyderabad,suv,manual,1,white,45,diesel,2021,20.55315,Tata-Safari
Hyderabad,hatchback,manual,1,red,12,petrol,2021,4.05,Maruti Suzuki-Alto 800
Hyderabad,suv,automatic,1,blue,18,petrol,2021,8.09,Renault-Kiger
Hyderabad,suv,automatic,1,red,30,diesel,2022,14.35,Mahindra-XUV 300
Hyderabad,suv,manual,1,black,60,diesel,2019,15.29,Mahindra-XUV500
Hyderabad,suv,automatic,1,green,7,petrol,2022,16.54,Mahindra-Thar
Hyderabad,hatchback,automatic,1,blue,42,petrol,2018,4.26995,Renault-Kwid
Hyderabad,suv,manual,1,white,17,petrol,2022,12.9551,Kia-Sonet
Hyderabad,hatchback,manual,1,brown,104,petrol,2015,4.46,Honda-Jazz
Hyderabad,hatchback,manual,1,blue,104,petrol,2022,6.97,Maruti Suzuki-Baleno
Hyderabad,hatchback,automatic,1,grey,61,petrol,2018,4.19,Renault-Kwid
Hyderabad,suv,manual,1,blue,20,petrol,2022,9.456,Renault-Kiger
Hyderabad,hatchback,manual,2,silver,91,petrol,2014,2.40558,Maruti Suzuki-Alto 800
Hyderabad,hatchback,automatic,1,red,26,petrol,2020,5.48,Datsun-GO
Hyderabad,hatchback,manual,1,white,74,diesel,2016,7.00371,Hyundai-Elite i20
Hyderabad,suv,manual,1,white,73,petrol,2020,9.01,Tata-Nexon
Hyderabad,suv,manual,1,white,105,diesel,2017,7.32,Honda-WR-V
Hyderabad,hatchback,manual,1,grey,56,petrol,2015,3.08,Hyundai-Eon
Hyderabad,hatchback,manual,1,white,119,petrol,2012,2.92,Maruti Suzuki-Wagon R 1.0
Hyderabad,suv,manual,1,white,98,diesel,2021,8.2,Honda-WR-V
Hyderabad,suv,automatic,1,grey,34,diesel,2021,22.27,Tata-Safari
Hyderabad,suv,automatic,1,grey,41,petrol,2019,15.08346,Kia-Seltos
Hyderabad,suv,manual,1,white,9,petrol,2022,12.59,Maruti Suzuki-Brezza
Hyderabad,hatchback,automatic,1,white,4,petrol,2023,5.79,Maruti Suzuki-Alto K10
Hyderabad,suv,manual,1,silver,50,diesel,2021,10.70525,Mahindra-Bolero Neo
Hyderabad,hatchback,manual,1,black,97,petrol,2012,2.99,Hyundai-i10
Hyderabad,suv,manual,2,white,81,diesel,2017,7.14732,Mahindra-TUV300
Hyderabad,hatchback,manual,2,silver,36,petrol,2012,3.73283,Hyundai-i20
Hyderabad,suv,automatic,1,white,70,petrol,2019,10.04048,Honda-BR-V
Hyderabad,suv,automatic,1,blue,17,petrol,2022,9.99,Nissan-Magnite
Hyderabad,hatchback,manual,1,white,101,petrol,2017,6.05826,Hyundai-Elite i20
Hyderabad,suv,manual,1,black,33,petrol,2021,10.45,Kia-Sonet
Hyderabad,sedan,manual,1,black,86,diesel,2018,8.64,Maruti Suzuki-Ciaz
Hyderabad,hatchback,manual,1,maroon,83,diesel,2014,3.92,Hyundai-Grand i10
Hyderabad,hatchback,manual,1,silver,42,petrol,2014,4.68,Maruti Suzuki-Swift
Hyderabad,hatchback,manual,1,grey,2,petrol,2021,3.92,Maruti Suzuki-Alto 800
Hyderabad,suv,manual,1,white,102,diesel,2017,9.95,Hyundai-Creta
Hyderabad,suv,manual,1,red,89,diesel,2016,6.37,Mahindra-TUV300
Hyderabad,suv,automatic,1,white,81,diesel,2020,11.99,Kia-Sonet
Hyderabad,hatchback,manual,1,silver,39,petrol,2014,3.72,Maruti Suzuki-Wagon R 1.0
Hyderabad,hatchback,automatic,1,grey,21,petrol,2018,4.4685,Renault-Kwid
Hyderabad,hatchback,manual,1,grey,42,petrol,2016,4.98306,Hyundai-Grand i10
Hyderabad,suv,automatic,1,grey,64,diesel,2019,23.06743,Volkswagen-Tiguan
Hyderabad,hatchback,automatic,1,red,45,petrol,2019,4.35,Renault-Kwid
Hyderabad,hatchback,manual,1,grey,11,petrol,2015,3.28,Maruti Suzuki-Alto K10
Hyderabad,suv,manual,1,silver,49,diesel,2017,8.2,Mahindra-TUV300
Hyderabad,suv,manual,1,red,7,petrol,2022,16.0237,Volkswagen-Taigun
Hyderabad,hatchback,manual,3,blue,90,petrol,2011,2.33,Maruti Suzuki-Wagon R 1.0
Hyderabad,hatchback,manual,2,silver,33,petrol,2018,3.42,Maruti Suzuki-Alto 800
Hyderabad,hatchback,manual,2,black,86,petrol,2011,2.3,Maruti Suzuki-Wagon R 1.0
Hyderabad,hatchback,manual,1,red,31,petrol,2020,7.11,Tata-Altroz
Hyderabad,suv,manual,1,black,40,diesel,2021,11.28073,Kia-Sonet
Hyderabad,hatchback,manual,1,grey,46,petrol,2016,3.0933,Maruti Suzuki-Alto 800
Hyderabad,hatchback,manual,3,silver,92,petrol,2013,2.989,Maruti Suzuki-Ritz
Hyderabad,hatchback,manual,1,grey,33,petrol,2022,7.99,Tata-Altroz
Hyderabad,hatchback,manual,1,white,46,petrol+cng,2021,5.78,Maruti Suzuki-Wagon R 1.0
Hyderabad,suv,manual,1,red,87,diesel,2016,7.19,Mahindra-TUV300
Hyderabad,sedan,manual,1,red,71,petrol,2016,5.80617,Honda-City
Hyderabad,suv,manual,1,grey,102,petrol,2020,8.97,Tata-Nexon
Hyderabad,sedan,manual,1,silver,48,petrol,2011,3.68,Toyota-Etios
Hyderabad,sedan,automatic,1,black,6,petrol,2023,16.97713,Hyundai-Verna
Hyderabad,sedan,automatic,1,grey,18,petrol,2022,15.38,Volkswagen-Virtus
Hyderabad,hatchback,manual,2,blue,9,petrol,2022,6.94,Hyundai-Grand i10 Nios
Hyderabad,hatchback,automatic,2,grey,30,petrol,2018,6.09,Hyundai-Grand i10
Hyderabad,hatchback,manual,1,bronze,15,petrol,2020,3.9,Renault-Kwid
Hyderabad,hatchback,automatic,2,bronze,23,petrol,2018,4.18011,Renault-Kwid
Hyderabad,hatchback,manual,1,blue,19,petrol,2021,6.89,Hyundai-Grand i10 Nios
Hyderabad,suv,manual,1,white,27,petrol,2022,11.54,Maruti Suzuki-Vitara Brezza
Hyderabad,hatchback,automatic,1,silver,77,petrol,2015,3.94,Maruti Suzuki-Celerio
Hyderabad,hatchback,automatic,1,ICE COOL WHITE,58,petrol,2018,4.03,Renault-Kwid
Hyderabad,suv,manual,1,blue,73,diesel,2018,7.72,Ford-EcoSport
Hyderabad,hatchback,manual,1,white,106,diesel,2015,6.18072,Hyundai-Elite i20
Hyderabad,hatchback,automatic,2,silver,26,petrol,2017,3.88,Renault-Kwid
Hyderabad,hatchback,automatic,1,grey,30,petrol,2016,4.59265,Maruti Suzuki-Wagon R 1.0
Hyderabad,suv,automatic,1,blue,69,diesel,2019,10.99,Mahindra-XUV 300
Hyderabad,suv,manual,1,white,75,diesel,2019,12.87,Hyundai-Creta
Hyderabad,hatchback,manual,1,blue,23,petrol,2020,6.22,Maruti Suzuki-Ignis
Hyderabad,hatchback,automatic,1,silver,46,petrol,2020,4.72,Maruti Suzuki-S-Presso
Hyderabad,hatchback,manual,2,white,31,petrol,2017,5.29949,Honda-Brio
Hyderabad,suv,manual,1,red,54,diesel,2020,11.4,Mahindra-XUV 300
Hyderabad,suv,manual,1,blue,8,petrol,2022,12.59373,Maruti Suzuki-Brezza
Hyderabad,hatchback,manual,1,orange,41,petrol,2016,6.54379,Maruti Suzuki-Baleno
Hyderabad,suv,automatic,1,blue,14,hybrid,2023,20.40103,Maruti Suzuki-Grand Vitara
Hyderabad,hatchback,manual,2,grey,66,petrol,2011,2.99,Maruti Suzuki-Swift
Hyderabad,suv,automatic,2,white,81,diesel,2016,9.19,Hyundai-Creta
Hyderabad,suv,manual,2,red,83,diesel,2017,8.27538,Mahindra-TUV300
Hyderabad,hatchback,manual,2,red,49,petrol,2015,5.49246,Hyundai-Elite i20
Hyderabad,sedan,manual,1,blue,96,petrol,2013,4.12,Honda-Amaze
Hyderabad,hatchback,manual,2,red,96,diesel,2015,4.13,Hyundai-Grand i10
Hyderabad,hatchback,manual,1,silver,105,diesel,2012,3.09896,Maruti Suzuki-Ritz
Hyderabad,hatchback,manual,1,red,46,petrol,2015,4.17,Hyundai-Grand i10
Hyderabad,suv,manual,1,green,28,petrol,2020,8.19,Tata-Nexon
