City,Body_type,Transmission,No_of_owners,color,Milleage,Fuel_type,Make_year,Price,Make_Model
Hyderabad,hatchback,automatic,2,bronze,17,petrol,2017,3.52,Renault-Kwid
Delhi,sedan,manual,1,brown,44,petrol,2017,7.08,Maruti Suzuki-Ciaz
Pune,hatchback,manual,1,brown,118,petrol,2017,4.12,Tata-Tiago
Bangalore,hatchback,manual,2,red,76,petrol,2012,2.90437,Hyundai-i10
Bangalore,hatchback,manual,3,grey,61,petrol,2015,2.62,Hyundai-Eon
Bangalore,sedan,manual,2,grey,78,diesel,2012,5.49694,Hyundai-Verna
Delhi,suv,automatic,1,white,92,petrol,2019,8.8,Hyundai-Venue
Delhi,suv,manual,1,black,13,petrol,2022,12.18,MG Motors-Astor
Pune,sedan,manual,2,green,75,petrol+cng,2017,4.46376,Honda-Amaze
Pune,hatchback,manual,1,white,75,petrol+cng,2014,3.32,Hyundai-i10
Hyderabad,hatchback,manual,1,white,74,diesel,2016,7.00371,Hyundai-Elite i20
Bangalore,sedan,manual,1,white,18,petrol,2021,8.09,Toyota-Yaris
Pune,hatchback,manual,1,brown,29,petrol,2016,4.93,Volkswagen-Polo
Bangalore,sedan,manual,1,grey,68,petrol,2019,5.51921,Volkswagen-Ameo
Bangalore,hatchback,manual,1,D BLUE,66,petrol,2014,1.88,Tata-Nano
Hyderabad,sedan,manual,1,red,71,petrol,2016,5.80617,Honda-City
Pune,suv,automatic,1,red,47,petrol,2020,13.38153,Kia-Seltos
Chennai,suv,automatic,1,grey,40,petrol,2020,10.26,Hyundai-Venue
Hyderabad,suv,automatic,1,white,27,petrol,2020,13.18255,Kia-Seltos
Bangalore,sedan,manual,1,C RED P,144,diesel,2013,3.95,Honda-Amaze
Bangalore,hatchback,automatic,1,blue,43,petrol,2018,5.39,Maruti Suzuki-Celerio
Bangalore,sedan,manual,1,grey,19,petrol,2020,10.59,Hyundai-Verna
Delhi,suv,automatic,1,black,103,petrol,2016,8.25,Hyundai-Creta
Pune,sedan,manual,1,silver,38,petrol,2011,3.38,Maruti Suzuki-Swift Dzire
Bangalore,muv,manual,1,ICE COOL WHITE,16,petrol,2022,7.65,Renault-Triber
Bangalore,hatchback,manual,1,silver,13,petrol+cng,2022,4.85,Maruti Suzuki-Alto 800
Bangalore,hatchback,automatic,1,orange,29,petrol,2015,3.63874,Maruti Suzuki-Alto K10
Bangalore,suv,manual,1,orange,93,diesel,2015,6.27,Ford-EcoSport
Hyderabad,hatchback,manual,1,grey,96,petrol,2019,2.72,Datsun-Redi-GO
Bangalore,suv,manual,1,grey,115,diesel,2019,8.28,Nissan-Kicks
Pune,hatchback,manual,1,blue,27,petrol,2022,4.68,Renault-Kwid
Delhi,hatchback,manual,1,grey,24,petrol,2017,4.9938,Honda-Brio
Bangalore,suv,manual,1,brown,67,diesel,2016,6.04399,Ford-EcoSport
Bangalore,suv,manual,1,red,55,petrol,2022,12.75,Volkswagen-Taigun
Bangalore,hatchback,manual,1,bronze,49,petrol,2022,4.3096,Renault-Kwid
Hyderabad,crossover,manual,1,white,23,petrol,2018,7.45768,Hyundai-i20 Active
Bangalore,hatchback,manual,1,white,115,petrol,2012,3.48003,Hyundai-i20
Hyderabad,hatchback,manual,2,silver,33,petrol,2018,3.42,Maruti Suzuki-Alto 800
Hyderabad,hatchback,manual,1,grey,118,diesel,2012,3.19,Maruti Suzuki-Ritz
Bangalore,muv,manual,1,grey,117,petrol,2017,6.97,Maruti Suzuki-Ertiga
Delhi,suv,manual,1,grey,97,diesel,2019,7.03,Nissan-Kicks
Chennai,hatchback,automatic,1,blue,41,petrol,2017,3.85927,Renault-Kwid
Delhi,hatchback,manual,1,grey,25,petrol,2019,5.82,Hyundai-Elite i20
Hyderabad,hatchback,manual,1,silver,37,petrol,2021,5.35885,Maruti Suzuki-Wagon R 1.2
Delhi,hatchback,manual,2,red,61,petrol,2018,4.4119,Volkswagen-Polo
Bangalore,suv,automatic,1,black,18,petrol,2021,15.77425,Mahindra-Thar
Bangalore,hatchback,automatic,1,blue,81,petrol,2019,4.18,Maruti Suzuki-S-Presso
Bangalore,hatchback,automatic,1,red,46,petrol,2017,5.6307,Hyundai-Grand i10
Bangalore,suv,manual,1,orange,62,diesel,2016,8.02209,Renault-Duster
Delhi,hatchback,manual,2,red,10,petrol,2017,2.82,Renault-Kwid
Bangalore,sedan,automatic,2,grey,44,petrol,2016,4.92,Honda-Amaze
Pune,suv,automatic,2,purple,71,diesel,2017,12.00793,Mahindra-XUV500
Delhi,hatchback,manual,1,silver,59,petrol,2015,3.84492,Hyundai-Grand i10
Bangalore,suv,manual,1,silver,2,diesel,2020,12.26894,Mahindra-XUV 300
Hyderabad,hatchback,manual,1,red,77,petrol,2016,3.97,Hyundai-i10
Bangalore,hatchback,manual,2,white,27,petrol,2018,3.6714,Maruti Suzuki-Alto K10
Delhi,suv,manual,1,white,8,petrol,2022,9.29,Maruti Suzuki-Brezza
Bangalore,hatchback,manual,1,grey,33,petrol,2017,3.52,Renault-Kwid
Bangalore,hatchback,manual,1,blue,48,petrol,2019,6.93408,Maruti Suzuki-Swift
Bangalore,muv,manual,1,purple,59,diesel,2019,9.92,Mahindra-Marazzo
Delhi,hatchback,manual,1,blue,24,petrol,2018,6.20176,Maruti Suzuki-Baleno
Bangalore,sedan,manual,1,silver,111,diesel,2011,3.89,Maruti Suzuki-Swift Dzire
Bangalore,hatchback,automatic,1,purple,61,petrol,2019,7.59,Toyota-Glanza
Chennai,hatchback,manual,1,red,70,petrol,2018,4.97,Hyundai-Grand i10
Kolkata,hatchback,manual,1,silver,79,diesel,2014,3.17,Maruti Suzuki-Ritz
Chennai,sedan,automatic,1,blue,50,petrol,2018,6.68234,Maruti Suzuki-Dzire
Hyderabad,hatchback,manual,1,red,53,petrol,2011,2.99,Hyundai-i10
Pune,hatchback,manual,2,white,101,petrol,2015,3.99,Volkswagen-Polo
Kolkata,hatchback,manual,1,SILKY SILVER,13,petrol,2020,3.42,Maruti Suzuki-Alto 800
Bangalore,sedan,manual,1,white,71,diesel,2018,7.10508,Nissan-Sunny
Hyderabad,sedan,automatic,1,blue,147,diesel,2015,5.89,Volkswagen-Vento
Delhi,suv,automatic,1,grey,96,petrol,2019,13.58,Kia-Seltos
Chennai,sedan,manual,1,grey,102,diesel,2018,5.05,Ford-Figo Aspire
Pune,hatchback,manual,1,silver,41,petrol,2019,3.48919,Renault-Kwid
Bangalore,hatchback,manual,2,blue,58,diesel,2013,2.75,Ford-Figo
Bangalore,hatchback,manual,2,blue,63,petrol,2019,4.19,Renault-Kwid
Bangalore,hatchback,manual,1,silver,98,petrol,2019,5.49,Hyundai-Grand i10
Delhi,suv,automatic,1,silver,22,diesel,2018,24.25,BMW-X1
Bangalore,hatchback,manual,1,grey,23,petrol,2016,3.30333,Maruti Suzuki-Alto K10
Pune,hatchback,manual,1,grey,83,petrol,2010,2.72,Hyundai-i20
Chennai,hatchback,manual,1,red,41,petrol,2016,4.37746,Hyundai-i10
Hyderabad,hatchback,automatic,1,white,4,petrol,2023,5.79,Maruti Suzuki-Alto K10
Pune,sedan,manual,1,white,96,diesel,2017,7.8,Hyundai-Fluidic Verna 4S
Bangalore,sedan,manual,1,red,44,petrol,2016,5.63264,Honda-Amaze
Hyderabad,hatchback,automatic,2,grey,61,petrol,2017,3.55005,Maruti Suzuki-Alto K10
Kolkata,hatchback,manual,1,grey,20,petrol,2020,4.96,Hyundai-Grand i10 Nios
Delhi,hatchback,manual,2,grey,64,petrol+cng,2009,0.99,Hyundai-i10
Bangalore,hatchback,automatic,1,white,25,petrol,2017,4.33678,Renault-Kwid
Chennai,hatchback,automatic,1,red,35,petrol,2021,7.89,Maruti Suzuki-Swift
Pune,suv,automatic,2,white,40,petrol,2021,7.13897,Renault-Kiger
Delhi,hatchback,manual,2,golden,52,petrol,2020,5.92,Tata-Altroz
Bangalore,hatchback,automatic,1,bronze,40,petrol,2019,4.81708,Renault-Kwid
Hyderabad,hatchback,automatic,1,bronze,13,petrol,2021,5.21,Renault-Kwid
Delhi,muv,manual,1,grey,49,petrol,2016,13.07755,Toyota-Innova Crysta
Delhi,hatchback,manual,1,white,63,petrol,2015,4.38493,Hyundai-Elite i20
Delhi,muv,manual,1,silver,45,petrol,2022,6.07936,Renault-Triber
Pune,hatchback,manual,1,beige,139,diesel,2012,3.52,Toyota-Etios Liva
Delhi,hatchback,manual,1,silver,52,petrol,2019,6.41,Hyundai-Elite i20
Hyderabad,hatchback,manual,1,blue,26,petrol,2022,9.68865,Hyundai-New i20
Pune,hatchback,manual,1,grey,68,petrol,2013,3.59708,Hyundai-Grand i10
Bangalore,hatchback,manual,1,grey,41,petrol,2013,3.46266,Hyundai-i10
Delhi,suv,automatic,1,blue,32,petrol,2020,11.51999,Kia-Sonet
Bangalore,hatchback,manual,1,black,6,petrol,2023,9.65,Tata-Altroz
Hyderabad,hatchback,manual,2,white,96,diesel,2016,3.98468,Maruti Suzuki-Ritz
Bangalore,hatchback,manual,1,red,17,petrol,2016,3.72,Renault-Kwid
Delhi,sedan,manual,1,blue,66,petrol,2018,5.7153,Maruti Suzuki-Dzire
Delhi,suv,automatic,2,white,82,diesel,2018,8.77,Hyundai-Creta
Bangalore,hatchback,manual,1,white,16,petrol,2023,7.39,Maruti Suzuki-Swift
Hyderabad,suv,automatic,1,silver,13,petrol,2022,23.16902,Mahindra-XUV700
Bangalore,hatchback,manual,1,silver,15,petrol,2023,7.71,Maruti Suzuki-Swift
Pune,hatchback,manual,1,silver,38,petrol,2017,6.12,Maruti Suzuki-Baleno
Delhi,hatchback,manual,1,brown,36,petrol,2018,4.24,Tata-Tiago
Kolkata,hatchback,manual,2,grey,79,diesel,2015,3.41331,Honda-Jazz
Chennai,sedan,manual,1,silver,82,diesel,2014,5.34,Skoda-Rapid
Bangalore,hatchback,automatic,1,GREY,32,petrol,2016,4.8,Maruti Suzuki-Celerio
Pune,sedan,manual,1,grey,27,petrol,2018,7.32167,Honda-City
Pune,sedan,automatic,1,blue,87,petrol,2017,5.99,Maruti Suzuki-Dzire
Chennai,hatchback,automatic,1,blue,13,petrol,2021,11.52686,Hyundai-i20 N Line
Bangalore,hatchback,manual,1,blue,12,petrol+cng,2022,9.03,Toyota-Glanza
Hyderabad,suv,automatic,1,grey,95,petrol,2019,8.75,Honda-BR-V
Bangalore,suv,manual,1,blue,34,petrol,2021,10.97,Maruti Suzuki-S-Cross
Delhi,hatchback,manual,1,HISTREET_GLD,40,petrol,2021,5.28,Tata-Altroz
Hyderabad,hatchback,automatic,1,blue,67,petrol,2018,6.78,Maruti Suzuki-Baleno
Hyderabad,hatchback,manual,1,silver,106,petrol,2011,2.15,Maruti Suzuki-Estilo
Delhi,suv,manual,1,silver,68,diesel,2019,7.61,Maruti Suzuki-S-Cross
Bangalore,hatchback,manual,1,bronze,4,petrol,2021,5.0,Renault-Kwid
Bangalore,hatchback,manual,1,white,46,petrol,2013,3.89,Nissan-Micra
Chennai,suv,manual,2,white,91,diesel,2016,5.86,Ford-EcoSport
Bangalore,hatchback,manual,2,red,27,petrol,2016,3.19,Renault-Kwid
Hyderabad,hatchback,automatic,1,white,37,petrol,2017,3.95,Renault-Kwid
Bangalore,suv,manual,1,silver,59,petrol,2021,15.49,Skoda-Kushaq
Bangalore,hatchback,manual,1,white,37,petrol,2016,4.28,Nissan-Micra Active
Kolkata,hatchback,manual,2,black,33,petrol,2010,1.99,Maruti Suzuki-Swift
Chennai,hatchback,manual,1,blue,36,petrol,2020,7.39,Maruti Suzuki-Baleno
Hyderabad,suv,automatic,1,red,75,petrol,2018,8.23969,Tata-Nexon
Pune,hatchback,manual,1,red,49,petrol,2017,3.32172,Renault-Kwid
Pune,sedan,manual,1,NIGHT SHAI,87,diesel,2015,5.85,Nissan-Sunny
Delhi,sedan,manual,1,white,91,petrol,2011,2.16,Toyota-Etios
Bangalore,hatchback,manual,1,red,50,petrol,2013,4.72692,Volkswagen-Polo
Bangalore,sedan,manual,1,blue,19,petrol,2017,6.6354,Maruti Suzuki-Dzire
Bangalore,sedan,automatic,1,grey,18,petrol,2022,14.82417,Volkswagen-Virtus
Hyderabad,hatchback,manual,1,red,70,petrol,2014,3.51,Maruti Suzuki-Wagon R 1.0
Delhi,muv,automatic,1,blue,25,diesel,2022,17.15,Kia-Carens
Pune,hatchback,manual,1,blue,118,petrol,2017,4.79,Hyundai-Grand i10
Pune,suv,manual,1,blue,26,petrol,2021,9.54,Hyundai-Venue
Bangalore,suv,automatic,2,white,95,petrol,2017,8.99,Hyundai-Creta
Pune,hatchback,manual,1,black,79,diesel,2014,3.28,Chevrolet-Beat
