Id,City,Make,Model,Body_type,Transmission,No_of_owners,color,Milleage,Fuel_type,Make_year,Price
11451243,Hyderabad,Maruti Suzuki,Swift,hatchback,manual,1,grey,53K,diesel,2016,564718.0
13131537,Hyderabad,Maruti Suzuki,Baleno,hatchback,automatic,2,grey,50K,petrol,2017,677809.0
13055736,Hyderabad,Tata,Tiago,hatchback,automatic,1,silver,3K,petrol,2020,639000.0
13279305,Hyderabad,Maruti Suzuki,S-Presso,hatchback,manual,2,orange,29K,petrol,2019,391000.0
11614466,Hyderabad,Hyundai,Grand i10 Nios,hatchback,automatic,1,grey,24K,petrol,2022,839000.0
11530921,Hyderabad,Hyundai,Grand i10,hatchback,manual,1,red,33K,petrol,2018,598000.0
11667892,Hyderabad,Maruti Suzuki,Baleno,hatchback,manual,1,blue,16K,petrol,2017,680977.0
12540296,Hyderabad,Renault,Kwid,hatchback,automatic,1,silver,12K,petrol,2016,396523.0
10133369,Hyderabad,Hyundai,Creta,suv,manual,1,red,83K,diesel,2018,1116000.0
13431529,Hyderabad,Hyundai,Elite i20,hatchback,automatic,1,white,19K,petrol,2018,769802.0
11703186,Hyderabad,Maruti Suzuki,Ignis,hatchback,manual,1,blue,29K,petrol,2017,508602.0
11276042,Hyderabad,Hyundai,Grand i10 Nios,hatchback,manual,1,silver,28K,petrol,2020,623000.0
9867400,Hyderabad,Datsun,Go Plus,muv,manual,1,white,43K,petrol,2018,381000.0
11724809,Hyderabad,Tata,Nexon,suv,automatic,1,red,89K,diesel,2021,1091000.0
11158785,Noida,Maruti Suzuki,Wagon R 1.0,hatchback,manual,1,grey,73K,petrol,2013,247000.0
12240379,Noida,Ford,EcoSport,suv,automatic,1,grey,94K,petrol,2016,627851.0
13058770,Noida,Toyota,Innova Crysta,muv,manual,1,silver,64K,diesel,2019,1670345.0
12580899,Delhi,MG Motors,Astor,suv,automatic,1,white,12K,petrol,2022,1536217.0
13098624,Noida,Honda,Amaze,sedan,manual,1,grey,43K,diesel,2021,879000.0
11016915,Delhi,Maruti Suzuki,Baleno,hatchback,manual,1,PRME. RAY BLUE,64K,petrol,2016,531000.0
12556092,Noida,Hyundai,Grand i10,hatchback,manual,2,silver,64K,petrol,2014,348000.0
4240356,Delhi,Tata,Nexon,suv,manual,1,blue,94K,petrol,2018,586000.0
12922352,Noida,Honda,WR-V,suv,manual,1,white,25K,diesel,2022,1049000.0
13335256,Noida,Volkswagen,Virtus,sedan,manual,1,white,33K,petrol,2022,1290654.0
10618644,Ghaziabad,Kia,Seltos,suv,manual,1,red,37K,diesel,2019,1275000.0
12157637,Delhi,Honda,Jazz,hatchback,automatic,1,silver,14K,petrol,2021,894000.0
12257225,Delhi,Hyundai,Elite i20,hatchback,manual,1,white,28K,diesel,2019,705342.0
13151950,Delhi,Renault,Kiger,suv,manual,1,blue,30K,petrol,2021,832000.0
12592220,Delhi,Hyundai,Creta,suv,manual,1,white,63K,petrol,2018,959000.0
10510700,Delhi,Skoda,Octavia,sedan,automatic,1,grey,106K,petrol,2018,1336000.0
12993837,Noida,Mahindra,Bolero Neo,suv,manual,1,silver,25K,diesel,2021,912000.0
12964166,Delhi,Toyota,Etios Cross,crossover,manual,1,orange,50K,petrol,2015,436929.0
12953352,Noida,Tata,Altroz,hatchback,manual,1,white,30K,petrol,2021,663882.0
10546043,Faridabad,Jeep,Compass,suv,automatic,1,white,38K,petrol,2019,1350000.0
10623961,Gurgaon,Mercedes-Benz,GLA,suv,automatic,1,black,36K,petrol,2019,2790000.0
11250319,Noida,Jeep,Compass,suv,automatic,1,black,60K,petrol,2018,1350000.0
12250509,Noida,Mahindra,XUV500,suv,manual,1,silver,54K,diesel,2019,1228552.0
13208559,Delhi,Mahindra,XUV 300,suv,manual,1,blue,41K,petrol,2019,892000.0
12922084,Noida,Kia,Seltos,suv,manual,1,grey,38K,petrol,2020,1259000.0
12889816,Delhi,Tata,Nexon,suv,manual,1,green,41K,petrol,2021,968000.0
12963135,Delhi,Honda,Brio,hatchback,manual,1,grey,24K,petrol,2017,499380.0
11851549,Delhi,Tata,Tiago,hatchback,automatic,1,yellow,42K,petrol,2021,630000.0
12978027,Delhi,Maruti Suzuki,Baleno,hatchback,manual,1,grey,43K,petrol,2019,572000.0
12437691,Delhi,Maruti Suzuki,Baleno,hatchback,manual,1,grey,69K,petrol,2018,578000.0
12849195,Delhi,Hyundai,Elite i20,hatchback,manual,1,red,69K,petrol,2017,574781.0
11077141,Ghaziabad,Hyundai,Creta,suv,manual,1,grey,81K,petrol,2016,773000.0
12608849,Delhi,Nissan,Magnite,suv,manual,1,brown,31K,petrol,2020,768000.0
11388645,Delhi,Hyundai,Grand i10,hatchback,manual,2,red,58K,petrol,2014,317000.0
12489569,Delhi,Maruti Suzuki,Ertiga,muv,manual,1,silver,51K,petrol,2012,519000.0
13028431,Delhi,Maruti Suzuki,Baleno,hatchback,manual,1,grey,73K,petrol,2017,539000.0
11760522,Noida,Maruti Suzuki,Baleno,hatchback,manual,1,blue,111K,petrol,2017,491000.0
10499117,Delhi,Hyundai,Creta,suv,automatic,1,white,79K,petrol,2016,869000.0
12864233,Ghaziabad,Toyota,Innova Crysta,muv,manual,1,brown,49K,petrol,2018,1574395.0
10007006,Faridabad,Mercedes-Benz,C-Class,sedan,automatic,1,white,23K,diesel,2018,2990000.0
9903210,Faridabad,BMW,X1,suv,automatic,1,blue,33K,diesel,2018,2490000.0
12079354,Gurgaon,BMW,X1,suv,automatic,1,silver,22K,diesel,2018,2425000.0
12592220,Delhi,Hyundai,Creta,suv,manual,1,white,63K,petrol,2018,959000.0
12993837,Noida,Mahindra,Bolero Neo,suv,manual,1,silver,25K,diesel,2021,912000.0
12922052,Noida,Kia,Sonet,suv,manual,1,white,14K,diesel,2022,1141528.0
12790824,Delhi,Hyundai,Alcazar,suv,automatic,1,black,44K,diesel,2021,1777624.0
12936927,Delhi,Honda,Brio,hatchback,manual,2,red,75K,petrol,2014,279000.0
11828399,Delhi,Maruti Suzuki,Swift Dzire,sedan,manual,1,white,64K,petrol,2017,469000.0
11812929,Delhi,Hyundai,Elite i20,hatchback,manual,1,silver,70K,petrol,2017,556000.0
10804767,Delhi,Maruti Suzuki,Swift,hatchback,automatic,1,white,35K,petrol,2018,643000.0
12397517,Ghaziabad,Hyundai,Creta,suv,manual,1,white,50K,petrol,2017,894492.0
10545794,Ghaziabad,Maruti Suzuki,Baleno,hatchback,manual,1,blue,51K,petrol,2018,539000.0
12785899,Noida,Kia,Seltos,suv,automatic,1,grey,96K,petrol,2019,1358000.0
12494376,Ghaziabad,Kia,Seltos,suv,manual,1,white,14K,petrol,2022,1666358.0
13104886,Delhi,Mahindra,XUV 300,suv,manual,1,white,24K,petrol,2020,826104.0
13040190,Delhi,Mahindra,Scorpio,suv,manual,1,white,71K,diesel,2020,1290683.0
10833560,Noida,Hyundai,Creta,suv,automatic,1,black,22K,petrol,2021,1644000.0
13085148,Delhi,Mahindra,XUV 300,suv,automatic,1,red,52K,diesel,2020,997000.0
12736616,Delhi,Tata,Tiago,hatchback,manual,2,grey,34K,petrol,2018,474165.0
12504076,Delhi,Maruti Suzuki,Dzire,sedan,manual,1,blue,53K,petrol,2018,573293.0
11816878,Delhi,Hyundai,New Santro 1.1,hatchback,manual,1,beige,43K,petrol,2019,467969.0
10583412,Noida,Nissan,Terrano,suv,manual,1,WHITE,60K,petrol,2013,453000.0
12880438,Noida,Skoda,Rapid New,sedan,manual,1,grey,24K,petrol,2021,968000.0
12340336,Delhi,Hyundai,Tucson,suv,automatic,1,grey,91K,petrol,2017,1191102.0
12808335,Noida,Toyota,Innova Crysta,muv,automatic,1,grey,83K,diesel,2019,1644661.0
8345730,Delhi,Kia,Sonet,suv,manual,1,black,35K,diesel,2021,1046000.0
12354773,Delhi,Maruti Suzuki,Baleno,hatchback,manual,1,silver,85K,petrol,2016,477000.0
11018699,Ghaziabad,Datsun,Redi-GO,hatchback,manual,1,RED 2,68K,petrol,2016,226000.0
10252726,Noida,Jeep,Compass,suv,automatic,1,silver,41K,petrol,2017,1260000.0
11768317,Gurgaon,Audi,A6,sedan,automatic,2,blue,58K,petrol,2015,2272358.0
12908949,Delhi,Maruti Suzuki,Ciaz,sedan,manual,1,brown,54K,petrol,2016,597000.0
12255270,Ghaziabad,Hyundai,Elite i20,hatchback,manual,1,silver,51K,diesel,2019,689000.0
12701312,Delhi,Maruti Suzuki,Ertiga,muv,manual,1,silver,35K,petrol,2013,518000.0
12954605,Delhi,Toyota,Etios,sedan,manual,1,silver,62K,petrol,2014,405389.0
11206655,Delhi,Kia,Seltos,suv,automatic,1,grey,109K,diesel,2019,976000.0
11686383,Ghaziabad,Tata,Altroz,hatchback,manual,1,white,46K,diesel,2021,749000.0
12529801,Noida,Maruti Suzuki,Baleno,hatchback,manual,1,silver,43K,petrol,2015,515044.0
12341574,Delhi,Hyundai,Creta,suv,automatic,1,white,64K,petrol,2016,920861.0
